image,index,method,n_dets,total_ms,tp,fp,ignored,valid_gt,small_gt,small_tp,recall_small,precision
0000011_01955_d_0000004.jpg,18,UnifAll,91,119.8172999866074,29,62,0,54,26,17,0.6538461538461539,0.31868131868131866
0000011_01955_d_0000004.jpg,18,SAHI640,74,375.57280001055915,17,57,0,54,26,10,0.38461538461538464,0.22972972972972974
0000011_02800_d_0000005.jpg,19,F640,23,16.028099998948164,17,6,0,37,27,10,0.37037037037037035,0.7391304347826086
0000011_02800_d_0000005.jpg,19,F1280,35,34.20130000449717,21,14,0,37,27,13,0.48148148148148145,0.6
0000011_02800_d_0000005.jpg,19,DensK1,30,28.75119999225717,17,13,0,37,27,10,0.37037037037037035,0.5666666666666667
0000011_02800_d_0000005.jpg,19,UnifAll,44,95.81830000388436,19,25,0,37,27,12,0.4444444444444444,0.4318181818181818
0000011_02800_d_0000005.jpg,19,SAHI640,42,354.3437000043923,12,30,0,37,27,7,0.25925925925925924,0.2857142857142857
0000011_04202_d_0000007.jpg,20,F640,13,17.1363000117708,8,5,0,51,25,4,0.16,0.6153846153846154
0000011_04202_d_0000007.jpg,20,F1280,26,33.06670000893064,10,15,0,51,25,5,0.2,0.4
0000011_04202_d_0000007.jpg,20,DensK1,27,37.71099999721628,14,10,0,51,25,9,0.36,0.5833333333333334
0000011_04202_d_0000007.jpg,20,UnifAll,50,115.06980001286138,15,32,0,51,25,7,0.28,0.3191489361702128
0000011_04202_d_0000007.jpg,20,SAHI640,44,398.84840000013355,9,34,0,51,25,3,0.12,0.20930232558139536
0000011_05068_d_0000008.jpg,21,F640,13,17.08380000491161,7,6,0,28,21,5,0.23809523809523808,0.5384615384615384
0000011_05068_d_0000008.jpg,21,F1280,23,32.13939999113791,10,13,0,28,21,5,0.23809523809523808,0.43478260869565216
0000011_05068_d_0000008.jpg,21,DensK1,32,29.209399988758378,13,19,0,28,21,10,0.47619047619047616,0.40625
0000011_05068_d_0000008.jpg,21,UnifAll,47,110.52139999810606,14,33,0,28,21,10,0.47619047619047616,0.2978723404255319
0000011_05068_d_0000008.jpg,21,SAHI640,45,370.6789999996545,8,37,0,28,21,5,0.23809523809523808,0.17777777777777778
0000011_06000_d_0000009.jpg,22,F640,21,17.692699999315664,15,5,0,77,60,6,0.1,0.75
0000011_06000_d_0000009.jpg,22,F1280,44,34.40640000917483,26,16,0,77,60,16,0.26666666666666666,0.6190476190476191
0000011_06000_d_0000009.jpg,22,DensK1,34,38.512999992235564,23,10,0,77,60,13,0.21666666666666667,0.696969696969697
0000011_06000_d_0000009.jpg,22,UnifAll,55,111.76650000561494,29,24,0,77,60,18,0.3,0.5471698113207547
0000011_06000_d_0000009.jpg,22,SAHI640,50,371.77019999944605,11,37,0,77,60,6,0.1,0.22916666666666666
0000011_06595_d_0000010.jpg,23,F640,23,19.84249999804888,9,14,0,21,11,3,0.2727272727272727,0.391304347826087
0000011_06595_d_0000010.jpg,23,F1280,18,35.03660000569653,10,8,0,21,11,7,0.6363636363636364,0.5555555555555556
0000011_06595_d_0000010.jpg,23,DensK1,25,43.02549999556504,10,15,0,21,11,3,0.2727272727272727,0.4
0000011_06595_d_0000010.jpg,23,UnifAll,41,121.89140000555199,13,28,0,21,11,6,0.5454545454545454,0.3170731707317073
0000011_06595_d_0000010.jpg,23,SAHI640,40,326.301399996737,8,32,0,21,11,5,0.45454545454545453,0.2
0000011_07307_d_0000011.jpg,24,F640,29,24.316700000781566,22,7,0,63,29,4,0.13793103448275862,0.7586206896551724
0000011_07307_d_0000011.jpg,24,F1280,29,34.45799999462906,23,6,0,63,29,6,0.20689655172413793,0.7931034482758621
0000011_07307_d_0000011.jpg,24,DensK1,38,37.01809998892713,26,12,0,63,29,8,0.27586206896551724,0.6842105263157895
0000011_07307_d_0000011.jpg,24,UnifAll,59,105.47850000148173,28,31,0,63,29,9,0.3103448275862069,0.4745762711864407
0000011_07307_d_0000011.jpg,24,SAHI640,47,470.9289999882458,20,27,0,63,29,6,0.20689655172413793,0.425531914893617
0000011_08299_d_0000012.jpg,25,F640,10,16.940300003625453,7,2,0,13,0,0,nan,0.7777777777777778
0000011_08299_d_0000012.jpg,25,F1280,10,31.69319999869913,1,9,0,13,0,0,nan,0.1
0000011_08299_d_0000012.jpg,25,DensK1,11,27.978199999779463,7,2,0,13,0,0,nan,0.7777777777777778
0000011_08299_d_0000012.jpg,25,UnifAll,25,100.65590000886004,7,16,0,13,0,0,nan,0.30434782608695654
0000011_08299_d_0000012.jpg,25,SAHI640,25,359.77300000377,1,22,0,13,0,0,nan,0.043478260869565216
0000054_00786_d_0000001.jpg,26,F640,69,19.190699997125193,56,12,0,72,25,20,0.8,0.8235294117647058
0000054_00786_d_0000001.jpg,26,F1280,68,53.779099995153956,47,16,0,72,25,15,0.6,0.746031746031746
0000054_00786_d_0000001.jpg,26,DensK1,79,31.498500000452623,56,20,0,72,25,20,0.8,0.7368421052631579
0000054_00786_d_0000001.jpg,26,UnifAll,86,60.88260000979062,56,25,0,72,25,20,0.8,0.691358024691358
0000054_00786_d_0000001.jpg,26,SAHI640,65,183.66330000571907,26,36,0,72,25,6,0.24,0.41935483870967744
0000063_00500_d_0000001.jpg,27,F640,146,20.110899989958853,83,59,0,262,253,75,0.2964426877470356,0.5845070422535211
0000063_00500_d_0000001.jpg,27,F1280,239,41.405299998587,143,80,0,262,253,138,0.5454545454545454,0.6412556053811659
0000063_00500_d_0000001.jpg,27,DensK1,241,44.50199998973403,121,105,0,262,253,112,0.4426877470355731,0.5353982300884956
0000063_00500_d_0000001.jpg,27,UnifAll,244,51.770799997029826,122,107,0,262,253,113,0.44664031620553357,0.5327510917030568
0000063_00500_d_0000001.jpg,27,SAHI640,185,173.65159999462776,72,104,0,262,253,67,0.2648221343873518,0.4090909090909091
0000063_02235_d_0000003.jpg,28,F640,63,26.851099988562055,56,7,0,93,78,42,0.5384615384615384,0.8888888888888888
0000063_02235_d_0000003.jpg,28,F1280,75,42.262699993443675,62,13,0,93,78,51,0.6538461538461539,0.8266666666666667
0000063_02235_d_0000003.jpg,28,DensK1,79,33.358200002112426,63,16,0,93,78,49,0.6282051282051282,0.7974683544303798
0000063_02235_d_0000003.jpg,28,UnifAll,81,52.09709999326151,63,18,0,93,78,49,0.6282051282051282,0.7777777777777778
0000063_02235_d_0000003.jpg,28,SAHI640,68,158.3641000033822,29,39,0,93,78,21,0.2692307692307692,0.4264705882352941
0000063_03139_d_0000004.jpg,29,F640,36,17.334999996819533,33,3,0,43,18,10,0.5555555555555556,0.9166666666666666
0000063_03139_d_0000004.jpg,29,F1280,41,42.164800004684366,33,8,0,43,18,11,0.6111111111111112,0.8048780487804879
0000063_03139_d_0000004.jpg,29,DensK1,42,33.71050000714604,34,8,0,43,18,11,0.6111111111111112,0.8095238095238095
0000063_03139_d_0000004.jpg,29,UnifAll,45,68.39010000112467,34,11,0,43,18,12,0.6666666666666666,0.7555555555555555
0000063_03139_d_0000004.jpg,29,SAHI640,40,142.18460000120103,19,21,0,43,18,5,0.2777777777777778,0.475
0000063_04000_d_0000005.jpg,30,F640,54,17.49250000284519,34,17,0,51,39,24,0.6153846153846154,0.6666666666666666
0000063_04000_d_0000005.jpg,30,F1280,63,40.3128000034485,41,18,0,51,39,31,0.7948717948717948,0.6949152542372882
0000063_04000_d_0000005.jpg,30,DensK1,72,38.44629999366589,44,23,0,51,39,34,0.8717948717948718,0.6567164179104478
0000063_04000_d_0000005.jpg,30,UnifAll,72,44.03200000524521,44,23,0,51,39,34,0.8717948717948718,0.6567164179104478
0000063_04000_d_0000005.jpg,30,SAHI640,59,144.01699999871198,18,39,0,51,39,12,0.3076923076923077,0.3157894736842105
0000063_05000_d_0000006.jpg,31,F640,34,16.819600001326762,26,7,0,42,32,18,0.5625,0.7878787878787878
0000063_05000_d_0000006.jpg,31,F1280,44,38.7819000025047,28,9,0,42,32,20,0.625,0.7567567567567568
0000063_05000_d_0000006.jpg,31,DensK1,51,33.49240000534337,29,17,0,42,32,21,0.65625,0.6304347826086957
0000063_05000_d_0000006.jpg,31,UnifAll,51,43.328600004315376,29,17,0,42,32,21,0.65625,0.6304347826086957
0000063_05000_d_0000006.jpg,31,SAHI640,43,124.84699999913573,20,21,0,42,32,12,0.375,0.4878048780487805
0000063_06000_d_0000007.jpg,32,F640,37,14.448300004005432,27,10,0,32,4,4,1.0,0.7297297297297297
0000063_06000_d_0000007.jpg,32,F1280,36,34.21959999832325,22,14,0,32,4,2,0.5,0.6111111111111112
0000063_06000_d_0000007.jpg,32,DensK1,37,39.63610000209883,27,10,0,32,4,4,1.0,0.7297297297297297
0000063_06000_d_0000007.jpg,32,UnifAll,41,51.87709999154322,27,14,0,32,4,4,1.0,0.6585365853658537
0000063_06000_d_0000007.jpg,32,SAHI640,39,141.64279999386054,22,17,0,32,4,2,0.5,0.5641025641025641
0000063_07000_d_0000008.jpg,33,F640,89,20.182499996735714,44,14,0,54,38,29,0.7631578947368421,0.7586206896551724
0000063_07000_d_0000008.jpg,33,F1280,109,35.51129999686964,49,15,0,54,38,35,0.9210526315789473,0.765625
0000063_07000_d_0000008.jpg,33,DensK1,130,31.976400001440197,49,19,0,54,38,34,0.8947368421052632,0.7205882352941176
0000063_07000_d_0000008.jpg,33,UnifAll,134,46.742999998969026,50,22,0,54,38,35,0.9210526315789473,0.6944444444444444
