image,method,tp,fp,ignored,small_gt,small_tp,precision,recall_small
0000086_01084_d_0000003.jpg,F1280,66,36,0,132,56,0.6470588235294118,0.42424242424242425
0000086_01084_d_0000003.jpg,DensK1,52,43,0,132,42,0.5473684210526316,0.3181818181818182
0000086_01084_d_0000003.jpg,UnifAll,55,49,0,132,44,0.5288461538461539,0.3333333333333333
0000086_01084_d_0000003.jpg,SAHI640,23,60,0,132,15,0.27710843373493976,0.11363636363636363
0000117_01326_d_0000088.jpg,F640,27,27,0,34,13,0.5,0.38235294117647056
0000117_01326_d_0000088.jpg,F1280,33,31,0,34,16,0.515625,0.47058823529411764
0000117_01326_d_0000088.jpg,DensK1,34,47,0,34,20,0.41975308641975306,0.5882352941176471
0000117_01326_d_0000088.jpg,UnifAll,38,66,0,34,20,0.36538461538461536,0.5882352941176471
0000117_01326_d_0000088.jpg,SAHI640,29,57,0,34,12,0.3372093023255814,0.35294117647058826
0000335_06861_d_0000078.jpg,F640,21,2,0,10,8,0.9130434782608695,0.8
0000335_06861_d_0000078.jpg,F1280,18,7,0,10,6,0.72,0.6
0000335_06861_d_0000078.jpg,DensK1,21,6,0,10,8,0.7777777777777778,0.8
0000335_06861_d_0000078.jpg,UnifAll,21,15,0,10,8,0.5833333333333334,0.8
0000335_06861_d_0000078.jpg,SAHI640,12,16,0,10,1,0.42857142857142855,0.1
0000287_00801_d_0000763.jpg,F640,33,13,0,34,17,0.717391304347826,0.5
0000287_00801_d_0000763.jpg,F1280,36,23,0,34,19,0.6101694915254238,0.5588235294117647
0000287_00801_d_0000763.jpg,DensK1,39,21,0,34,22,0.65,0.6470588235294118
0000287_00801_d_0000763.jpg,UnifAll,43,30,0,34,24,0.589041095890411,0.7058823529411765
0000287_00801_d_0000763.jpg,SAHI640,22,40,0,34,7,0.3548387096774194,0.20588235294117646
0000316_01201_d_0000525.jpg,F640,21,10,0,25,9,0.6774193548387096,0.36
0000316_01201_d_0000525.jpg,F1280,28,15,0,25,17,0.6511627906976745,0.68
0000316_01201_d_0000525.jpg,DensK1,26,17,0,25,13,0.6046511627906976,0.52
0000316_01201_d_0000525.jpg,UnifAll,30,40,0,25,17,0.42857142857142855,0.68
0000316_01201_d_0000525.jpg,SAHI640,22,39,0,25,10,0.36065573770491804,0.4
0000327_00001_d_0000711.jpg,F640,39,12,0,46,19,0.7647058823529411,0.41304347826086957
0000327_00001_d_0000711.jpg,F1280,46,18,0,46,28,0.71875,0.6086956521739131
0000327_00001_d_0000711.jpg,DensK1,44,19,0,46,24,0.6984126984126984,0.5217391304347826
0000327_00001_d_0000711.jpg,UnifAll,51,34,0,46,30,0.6,0.6521739130434783
0000327_00001_d_0000711.jpg,SAHI640,27,51,0,46,13,0.34615384615384615,0.2826086956521739
0000315_01601_d_0000509.jpg,F640,34,12,0,82,22,0.7391304347826086,0.2682926829268293
0000315_01601_d_0000509.jpg,F1280,52,17,0,82,39,0.7536231884057971,0.47560975609756095
0000315_01601_d_0000509.jpg,DensK1,48,21,0,82,34,0.6956521739130435,0.4146341463414634
0000315_01601_d_0000509.jpg,UnifAll,55,35,0,82,40,0.6111111111111112,0.4878048780487805
0000315_01601_d_0000509.jpg,SAHI640,38,49,0,82,23,0.4367816091954023,0.2804878048780488
0000280_00801_d_0000616.jpg,F640,34,16,0,46,17,0.68,0.3695652173913043
0000280_00801_d_0000616.jpg,F1280,39,25,0,46,22,0.609375,0.4782608695652174
0000280_00801_d_0000616.jpg,DensK1,45,40,0,46,27,0.5294117647058824,0.5869565217391305
0000280_00801_d_0000616.jpg,UnifAll,46,54,0,46,28,0.46,0.6086956521739131
0000280_00801_d_0000616.jpg,SAHI640,29,59,0,46,13,0.32954545454545453,0.2826086956521739
0000333_03137_d_0000017.jpg,F640,20,9,0,23,4,0.6896551724137931,0.17391304347826086
0000333_03137_d_0000017.jpg,F1280,24,11,0,23,8,0.6857142857142857,0.34782608695652173
0000333_03137_d_0000017.jpg,DensK1,21,11,0,23,5,0.65625,0.21739130434782608
0000333_03137_d_0000017.jpg,UnifAll,22,22,0,23,6,0.5,0.2608695652173913
0000333_03137_d_0000017.jpg,SAHI640,19,23,0,23,4,0.4523809523809524,0.17391304347826086
0000249_01514_d_0000005.jpg,F640,28,9,0,36,15,0.7567567567567568,0.4166666666666667
0000249_01514_d_0000005.jpg,F1280,40,4,0,36,26,0.9090909090909091,0.7222222222222222
0000249_01514_d_0000005.jpg,DensK1,35,16,0,36,21,0.6862745098039216,0.5833333333333334
0000249_01514_d_0000005.jpg,UnifAll,37,16,0,36,22,0.6981132075471698,0.6111111111111112
0000249_01514_d_0000005.jpg,SAHI640,31,23,0,36,16,0.5740740740740741,0.4444444444444444
0000001_07999_d_0000012.jpg,F640,27,13,0,99,16,0.675,0.16161616161616163
0000001_07999_d_0000012.jpg,F1280,56,32,0,99,35,0.6363636363636364,0.35353535353535354
0000001_07999_d_0000012.jpg,DensK1,42,36,0,99,26,0.5384615384615384,0.26262626262626265
0000001_07999_d_0000012.jpg,UnifAll,57,70,0,99,36,0.44881889763779526,0.36363636363636365
0000001_07999_d_0000012.jpg,SAHI640,37,82,0,99,20,0.31092436974789917,0.20202020202020202
0000024_00000_d_0000012.jpg,F640,7,4,0,9,1,0.6363636363636364,0.1111111111111111
0000024_00000_d_0000012.jpg,F1280,8,5,0,9,3,0.6153846153846154,0.3333333333333333
0000024_00000_d_0000012.jpg,DensK1,8,7,0,9,2,0.5333333333333333,0.2222222222222222
0000024_00000_d_0000012.jpg,UnifAll,10,9,0,9,3,0.5263157894736842,0.3333333333333333
0000024_00000_d_0000012.jpg,SAHI640,4,13,0,9,0,0.23529411764705882,0.0
0000194_00399_d_0000121.jpg,F640,62,24,0,137,57,0.7209302325581395,0.41605839416058393
0000194_00399_d_0000121.jpg,F1280,75,32,0,137,71,0.7009345794392523,0.5182481751824818
0000194_00399_d_0000121.jpg,DensK1,77,34,0,137,72,0.6936936936936937,0.5255474452554745
0000194_00399_d_0000121.jpg,UnifAll,80,36,0,137,75,0.6896551724137931,0.5474452554744526
0000194_00399_d_0000121.jpg,SAHI640,61,56,0,137,56,0.5213675213675214,0.40875912408759124
0000346_07057_d_0000382.jpg,F640,49,17,0,50,20,0.7424242424242424,0.4
0000346_07057_d_0000382.jpg,F1280,62,21,0,50,34,0.7469879518072289,0.68
0000346_07057_d_0000382.jpg,DensK1,60,28,0,50,29,0.6818181818181818,0.58
0000346_07057_d_0000382.jpg,UnifAll,64,37,0,50,32,0.6336633663366337,0.64
0000346_07057_d_0000382.jpg,SAHI640,45,42,0,50,24,0.5172413793103449,0.48
0000360_00197_d_0000714.jpg,F640,35,9,0,50,13,0.7954545454545454,0.26
0000360_00197_d_0000714.jpg,F1280,44,21,0,50,23,0.676923076923077,0.46
0000360_00197_d_0000714.jpg,DensK1,38,13,0,50,16,0.7450980392156863,0.32
0000360_00197_d_0000714.jpg,UnifAll,47,34,0,50,23,0.5802469135802469,0.46
0000360_00197_d_0000714.jpg,SAHI640,33,43,0,50,14,0.4342105263157895,0.28
0000194_00998_d_0000124.jpg,F640,14,6,0,37,9,0.7,0.24324324324324326
0000194_00998_d_0000124.jpg,F1280,19,12,0,37,15,0.6129032258064516,0.40540540540540543
0000194_00998_d_0000124.jpg,DensK1,21,14,0,37,16,0.6,0.43243243243243246
0000194_00998_d_0000124.jpg,UnifAll,21,16,0,37,16,0.5675675675675675,0.43243243243243246
0000194_00998_d_0000124.jpg,SAHI640,10,20,0,37,5,0.3333333333333333,0.13513513513513514
0000327_03401_d_0000728.jpg,F640,21,17,0,56,10,0.5526315789473685,0.17857142857142858
0000327_03401_d_0000728.jpg,F1280,39,14,0,56,24,0.7358490566037735,0.42857142857142855
0000327_03401_d_0000728.jpg,DensK1,30,26,0,56,18,0.5357142857142857,0.32142857142857145
0000327_03401_d_0000728.jpg,UnifAll,38,35,0,56,23,0.5205479452054794,0.4107142857142857
0000327_03401_d_0000728.jpg,SAHI640,21,43,0,56,8,0.328125,0.14285714285714285
0000289_02401_d_0000823.jpg,F640,30,9,0,32,14,0.7692307692307693,0.4375
0000289_02401_d_0000823.jpg,F1280,36,14,0,32,20,0.72,0.625
0000289_02401_d_0000823.jpg,DensK1,38,20,0,32,22,0.6551724137931034,0.6875
0000289_02401_d_0000823.jpg,UnifAll,38,28,0,32,22,0.5757575757575758,0.6875
0000289_02401_d_0000823.jpg,SAHI640,21,40,0,32,9,0.3442622950819672,0.28125
0000277_02601_d_0000552.jpg,F640,43,21,0,94,21,0.671875,0.22340425531914893
0000277_02601_d_0000552.jpg,F1280,55,30,0,94,31,0.6470588235294118,0.32978723404255317
0000277_02601_d_0000552.jpg,DensK1,54,35,0,94,30,0.6067415730337079,0.3191489361702128
0000277_02601_d_0000552.jpg,UnifAll,68,60,0,94,42,0.53125,0.44680851063829785
0000277_02601_d_0000552.jpg,SAHI640,37,73,0,94,20,0.33636363636363636,0.2127659574468085
0000360_05293_d_0000740.jpg,F640,36,10,0,46,19,0.782608695652174,0.41304347826086957
0000360_05293_d_0000740.jpg,F1280,40,17,0,46,24,0.7017543859649122,0.5217391304347826
0000360_05293_d_0000740.jpg,DensK1,45,22,0,46,27,0.6716417910447762,0.5869565217391305
0000360_05293_d_0000740.jpg,UnifAll,46,32,0,46,28,0.5897435897435898,0.6086956521739131
0000360_05293_d_0000740.jpg,SAHI640,20,43,0,46,8,0.31746031746031744,0.17391304347826086
0000269_00601_d_0000351.jpg,F640,53,14,0,72,35,0.7910447761194029,0.4861111111111111
0000269_00601_d_0000351.jpg,F1280,70,19,0,72,51,0.7865168539325843,0.7083333333333334
0000269_00601_d_0000351.jpg,DensK1,70,26,0,72,52,0.7291666666666666,0.7222222222222222
0000269_00601_d_0000351.jpg,UnifAll,77,31,0,72,58,0.7129629629629629,0.8055555555555556
0000269_00601_d_0000351.jpg,SAHI640,47,47,0,72,31,0.5,0.4305555555555556
0000153_01601_d_0000001.jpg,F640,17,11,0,57,14,0.6071428571428571,0.24561403508771928
