image,index,method,rep,n_dets,total_ms,n_windows,selected,consistent_with_rep0,global_ms,local_ms,merge_ms
0000153_01201_d_0000001.jpg,5,SAHI640,2,43,149.4373000023188,-1,[],True,,,
0000276_02801_d_0000521.jpg,6,F640,0,19,15.010999995865859,0,[],,,,
0000276_02801_d_0000521.jpg,6,F1280,0,32,33.46649999730289,0,[],,,,
0000276_02801_d_0000521.jpg,6,DensK1,0,32,37.14869999384973,1,[0],,17.76170000084676,18.677400003070943,0.7095999899320304
0000276_02801_d_0000521.jpg,6,UnifAll,0,45,110.28860000078566,6,"[0, 1, 2, 3, 4, 5]",,,,
0000276_02801_d_0000521.jpg,6,SAHI640,0,38,364.86869999498595,-1,[],,,,
0000276_02801_d_0000521.jpg,6,F640,1,19,22.93910000298638,0,[],True,,,
0000276_02801_d_0000521.jpg,6,F1280,1,32,32.291399998939596,0,[],True,,,
0000276_02801_d_0000521.jpg,6,DensK1,1,32,36.75430000294,1,[0],True,18.539800003054552,17.085200001019984,1.1292999988654628
0000276_02801_d_0000521.jpg,6,UnifAll,1,45,118.1053000036627,6,"[0, 1, 2, 3, 4, 5]",True,,,
0000276_02801_d_0000521.jpg,6,SAHI640,1,38,384.8965000070166,-1,[],True,,,
0000276_02801_d_0000521.jpg,6,F640,2,19,16.78130000072997,0,[],True,,,
0000276_02801_d_0000521.jpg,6,F1280,2,32,30.241700005717576,0,[],True,,,
0000276_02801_d_0000521.jpg,6,DensK1,2,32,30.776600004173815,1,[0],True,16.08010000200011,14.002700001583435,0.6938000005902722
0000276_02801_d_0000521.jpg,6,UnifAll,2,45,96.21920000063255,6,"[0, 1, 2, 3, 4, 5]",True,,,
0000276_02801_d_0000521.jpg,6,SAHI640,2,38,361.02630000095814,-1,[],True,,,
0000271_02401_d_0000385.jpg,7,F640,0,44,17.640999998548068,0,[],,,,
0000271_02401_d_0000385.jpg,7,F1280,0,54,32.670299988240004,0,[],,,,
0000271_02401_d_0000385.jpg,7,DensK1,0,65,30.81009999732487,1,[1],,15.361600002506748,14.017699999385513,1.4307999954326078
0000271_02401_d_0000385.jpg,7,UnifAll,0,84,110.05180000211112,6,"[0, 1, 2, 3, 4, 5]",,,,
0000271_02401_d_0000385.jpg,7,SAHI640,0,75,494.7371000016574,-1,[],,,,
0000271_02401_d_0000385.jpg,7,F640,1,44,17.812299993238412,0,[],True,,,
0000271_02401_d_0000385.jpg,7,F1280,1,54,30.79489999799989,0,[],True,,,
0000271_02401_d_0000385.jpg,7,DensK1,1,65,32.68370000296272,1,[1],True,17.048900001100264,14.206600011675619,1.4281999901868403
0000271_02401_d_0000385.jpg,7,UnifAll,1,84,119.88250000285916,6,"[0, 1, 2, 3, 4, 5]",True,,,
0000271_02401_d_0000385.jpg,7,SAHI640,1,75,391.38549999915995,-1,[],True,,,
0000271_02401_d_0000385.jpg,7,F640,2,44,15.66129999991972,0,[],True,,,
0000271_02401_d_0000385.jpg,7,F1280,2,54,31.490499997744337,0,[],True,,,
0000271_02401_d_0000385.jpg,7,DensK1,2,65,31.78249999473337,1,[1],True,14.33079999696929,15.702300006523728,1.7493999912403524
0000271_02401_d_0000385.jpg,7,UnifAll,2,84,114.51149999629706,6,"[0, 1, 2, 3, 4, 5]",True,,,
0000271_02401_d_0000385.jpg,7,SAHI640,2,75,384.91459999931976,-1,[],True,,,
0000244_03000_d_0000007.jpg,8,F640,0,26,17.307300004176795,0,[],,,,
0000244_03000_d_0000007.jpg,8,F1280,0,39,37.81180000805762,0,[],,,,
0000244_03000_d_0000007.jpg,8,DensK1,0,45,39.189999995869584,1,[0],,19.494799998938106,18.379000001004897,1.3161999959265813
0000244_03000_d_0000007.jpg,8,UnifAll,0,47,50.45260000042617,2,"[0, 1]",,,,
0000244_03000_d_0000007.jpg,8,SAHI640,0,37,176.67519999668002,-1,[],,,,
0000244_03000_d_0000007.jpg,8,F640,1,26,21.009600008255802,0,[],True,,,
